ExperimentName,Subject,Session,Block,BlockList,Trial,CorrectResponse,CueType,Image,Image.ACC,Image.CRESP,Image.RESP,Image.RT,Image.RTTime,MainCondition
GoNoGo_r,126,2,1,1,,,,,,,,,,
GoNoGo_r,126,2,2,2,1,{SPACE},Cue,BigSquare.bmp,1,{SPACE},{SPACE},472,82693,Go
GoNoGo_r,126,2,2,2,2,,Precued,SmallSquare.bmp,1,,,0,0,No Go
GoNoGo_r,126,2,2,2,3,{SPACE},Noncue,BigCircle.bmp,1,{SPACE},{SPACE},236,86456,Go
GoNoGo_r,126,2,2,2,4,{SPACE},Noncue,SmallCircle.bmp,1,{SPACE},{SPACE},320,88540,Go
GoNoGo_r,126,2,2,2,5,{SPACE},Cue,BigSquare.bmp,1,{SPACE},{SPACE},378,90597,Go
GoNoGo_r,126,2,2,2,6,,Precued,SmallSquare.bmp,1,,,0,0,No Go
GoNoGo_r,126,2,2,2,7,{SPACE},Noncue,BigCircle.bmp,1,{SPACE},{SPACE},199,94434,Go
GoNoGo_r,126,2,2,2,8,,Uncued,SmallSquare.bmp,0,,{SPACE},247,96498,No Go
GoNoGo_r,126,2,2,2,9,{SPACE},Noncue,BigCircle.bmp,1,{SPACE},{SPACE},244,98478,Go
GoNoGo_r,126,2,2,2,10,{SPACE},Noncue,BigCircle.bmp,1,{SPACE},{SPACE},314,100547,Go
GoNoGo_r,126,2,3,3,1,{SPACE},Noncue,BigCircle.bmp,1,{SPACE},{SPACE},258,102491,Go
GoNoGo_r,126,2,3,3,2,,Uncued,SmallSquare.bmp,1,,,0,0,No Go
GoNoGo_r,126,2,3,3,3,{SPACE},Cue,BigSquare.bmp,1,{SPACE},{SPACE},250,106498,Go
GoNoGo_r,126,2,3,3,4,,Precued,SmallSquare.bmp,0,,{SPACE},288,108536,No Go
GoNoGo_r,126,2,3,3,5,{SPACE},Noncue,SmallCircle.bmp,1,{SPACE},{SPACE},259,110506,Go
GoNoGo_r,126,2,3,3,6,{SPACE},Cue,BigSquare.bmp,1,{SPACE},{SPACE},265,112512,Go
GoNoGo_r,126,2,3,3,7,,Precued,SmallSquare.bmp,1,,,0,0,No Go
GoNoGo_r,126,2,3,3,8,{SPACE},Noncue,BigCircle.bmp,1,{SPACE},{SPACE},208,116470,Go
GoNoGo_r,126,2,3,3,9,{SPACE},Cue,BigSquare.bmp,1,{SPACE},{SPACE},313,118575,Go
