,Subject,Session,Sum of Too Early,Sum of Lapses,Sum of Too Fast,Sum of False Starts,Sum of Rejected Trials,Average Reaction Time,Average Speed,Standard Deviation
0,104,1,1,14,0,1,14,367.0379746835443,2.8254545867903365,69.06062796056118
0,104,2,2,25,1,3,26,381.1666666666667,2.7019471142089455,61.901306891468735
0,104,3,1,22,0,1,22,378.8142857142857,2.69060387214224,51.896020024756595
0,104,4,2,36,0,2,36,360.57142857142856,2.838938119036981,55.48262861402727
0,104,5,1,15,0,1,15,379.6835443037975,2.703260744454757,58.706035225453974
0,104,6,0,9,0,0,9,343.4235294117647,2.992689639237427,58.46577681707076
0,105,1,0,0,0,0,0,265.340206185567,3.8722056400160128,46.7288023684577
0,105,2,0,3,0,0,3,286.7802197802198,3.5814043774818147,50.28160746078082
0,105,3,1,0,0,1,0,250.65263157894736,4.144153450168357,55.938752300695505
0,105,4,0,1,0,0,1,276.8191489361702,3.7578297999500125,59.61452568280806
0,105,5,0,0,0,0,0,255.77894736842106,4.033408759014373,48.10519920309592
0,105,6,0,1,0,0,1,255.69473684210527,4.029541693916615,48.906352910263124
0,106,1,1,1,0,1,1,269.18947368421055,3.8167984685025664,48.252283539137515
0,106,2,6,0,0,6,0,283.6145833333333,3.633173207762796,47.050112095994145
0,106,3,7,1,0,7,1,298.14736842105265,3.4194202007444736,41.99011241796645
0,106,4,1,2,0,1,2,262.36046511627904,3.9067205841410044,45.90012502628049
0,106,5,6,2,0,6,2,297.13829787234044,3.4917653991611677,58.65748970205661
0,106,6,2,2,0,2,2,303.5217391304348,3.4335508210547796,63.97758506186977
0,107,1,4,1,0,4,1,288.0416666666667,3.642585273557654,65.39642943201211
0,107,2,2,2,0,2,2,321.9032258064516,3.2258218232590936,62.07867807943209
0,107,3,5,7,0,5,7,323.2988505747126,3.173422820589417,52.57444664971686
0,107,4,7,6,0,7,6,336.4431818181818,3.1101018923514867,72.4267141218991
0,107,5,6,14,0,6,14,367.7125,2.853965466982661,75.96821349765517
0,107,6,33,16,1,34,17,348.8181818181818,3.0136879163019135,75.87120792097329
0,109,1,1,2,0,1,2,289.96774193548384,3.5697444132304827,55.2662432571526
0,109,2,2,4,0,2,4,340.68888888888887,3.030810771562133,61.13507690323979
0,109,3,0,12,0,0,12,402.9878048780488,2.532339033209294,54.93576358846646
0,109,4,0,13,0,0,13,350.7560975609756,2.9493886507272093,64.63259143760972
0,109,5,2,7,0,2,7,356.2808988764045,2.8792209452166215,57.498021460830394
0,109,6,2,10,0,2,10,402.21176470588233,2.520272236341615,45.92776266871163
0,110,1,0,0,0,0,0,271.5729166666667,3.7606417903839735,41.12106510797155
0,110,2,3,5,0,3,5,318.2637362637363,3.244052642196449,59.62192645976911
0,110,3,6,13,0,6,13,337.4938271604938,3.0479458525320635,57.20601442523114
0,110,4,5,11,1,6,12,313.2926829268293,3.283412259520052,54.64825521140917
0,110,5,1,23,0,1,23,339.9577464788732,3.024610943613206,57.749072131004425
0,110,6,0,4,0,0,4,320.07608695652175,3.186003713065162,44.519469427950305
0,113,1,2,9,0,2,9,344.1162790697674,3.006683725565689,61.99324794441468
0,113,2,2,13,0,2,13,345.0740740740741,3.015628729626056,69.23524712488896
0,113,3,2,12,0,2,12,357.4320987654321,2.881831545049237,60.055170108743546
0,113,4,11,19,0,11,19,403.81333333333333,2.568432165783423,62.75212784877935
0,113,5,0,20,0,0,20,371.5890410958904,2.7749297294782114,63.964581261915384
0,113,6,2,12,0,2,12,374.6585365853659,2.7273804442964646,54.137506569706964
0,114,1,0,0,0,0,0,278.6736842105263,3.662913360647118,43.78463786395795
0,114,2,0,2,0,0,2,308.4148936170213,3.3239974069730023,53.446065583283556
0,114,3,1,3,0,1,3,322.0430107526882,3.1813633647765887,52.027566685216655
0,114,4,1,7,0,1,7,331.11494252873564,3.104400888524891,56.36249480493384
0,114,5,0,1,0,0,1,297.36842105263156,3.4475434278643555,51.41840316122833
